('WORD', 'TAG', 'PREDICTED TAG')
('lomenzi-sicelo', 'N', 'N')
('okanye', 'ADV', 'ADV')
('igama', 'N05', 'N05')
('lobhaliso', 'N02', 'N02')
('lweshishini', 'N05', 'N05')
('hayi', 'IDEOPH', 'V')
('igama', 'N05', 'N05')
('lorhwebo', 'N11', 'V')
('kufuneka', 'V', 'V')
('liboniswe', 'V', 'V')
('kweli', 'DEM01', 'DEM01')
('candela', 'V', 'V')
('$', 'END', 'END')
0.8666666666666667
('^', 'START', 'START')
('apho', 'DEM02', 'DEM02')
('kubonakala', 'V', 'V')
('khona', 'CONJ', 'CONJ')
('inkwenkwezana', 'N09', 'N09')
('ekuthiwa', 'V', 'V')
('yi-asterisk', 'N', 'N')
('susa', 'V', 'V')
('nayiphina', 'CONJ', 'CONJ')
('efaneleke', 'V', 'V')
('njalo', 'ADV', 'ADV')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('Kwicandelo', 'N05', 'N05')
('le', 'DEM01', 'DEM01')
('Declaration', 'LOC', 'LOC')
('ISibhengezo', 'N', 'N05')
('faka', 'V', 'V')
('oku', 'DEM01', 'DEM01')
('kulandelayo', 'REL', 'REL')
('$', 'END', 'END')
0.8888888888888888
('^', 'START', 'START')
('oonobumba', 'N02', 'V')
('bamagama', 'N06', 'N06')
('okuqala', 'V', 'V')
('kunye', 'ADJ05', 'ADJ05')
('nefani', 'N09', 'N09')
('yomntu', 'N01', 'N01')
('owenza', 'V', 'V')
('isicelo', 'N07', 'N07')
('sokunikwa', 'V', 'V')
('ilayisensi', 'N09', 'N09')
('$', 'END', 'END')
0.9166666666666666
('^', 'START', 'START')
('isikhundla', 'N07', 'V')
('somntu', 'N01', 'N01')
('owenza', 'V', 'V')
('isicelo', 'N07', 'N07')
('umzekelo', 'N03', 'N03')
('uMqondisi', 'N01', 'V')
('uManejala', 'V', 'V')
('uMnikazi', 'N01', 'N01')
('$', 'END', 'END')
0.8
('^', 'START', 'START')
('lo', 'DEM01', 'DEM01')
('mntu', 'N', 'N')
('wenza', 'V', 'V')
('isicelo', 'N07', 'N07')
('kufuneka', 'V', 'V')
('atyikitye', 'V', 'V')
('asayine', 'V', 'V')
('ifom', 'N', 'N')
('yesicelo', 'N07', 'N07')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('umhla', 'N03', 'N03')
('esisayinwe', 'V', 'V')
('ngawo', 'ADV', 'ADV')
('esi', 'DEM01', 'DEM01')
('sicelo', 'N07', 'N07')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('indawo', 'N09', 'N09')
('esisayinelwe', 'V', 'V')
('kuyo', 'PRON04', 'PRON04')
('esi', 'DEM01', 'DEM01')
('sicelo', 'N07', 'N07')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('Gcwalisa', 'V', 'V')
('ifom', 'N', 'N')
('yesicelo', 'N07', 'N07')
('uze', 'V', 'V')
('uyise', 'N01', 'N01')
('kwi-ofisi', 'V', 'V')
('ekufuphi', 'P', 'P')
('yeMirhumo', 'LOC', 'V')
('yeMpahla', 'N09', 'N09')
('eNgena', 'V', 'V')
('eLizweni', 'N05', 'N05')
('kunye', 'ADJ05', 'ADJ05')
('neRhafu', 'N09', 'N09')
('yeMpahla', 'N09', 'N09')
('neZinto', 'N10', 'N10')
('kunye', 'ADJ05', 'ADJ05')
('neeLayisensi', 'N', 'N')
('ezithile', 'V', 'V')
('ye-South', 'P', 'P')
('African', 'N', 'N')
('Revenue', 'P', 'P')
('Service', 'P', 'P')
('$', 'END', 'END')
0.9583333333333334
('^', 'START', 'START')
('Faka', 'V', 'V')
('kwifom', 'LOC', 'LOC')
('yesicelo', 'N07', 'N07')
('iikopi', 'COP', 'V')
('eziluqobo', 'N', 'N')
('lwazo', 'POS11', 'V')
('okanye', 'ADV', 'ADV')
('eziqinisekisiweyo', 'V', 'V')
('zale', 'DEM01', 'DEM01')
('miqulu', 'N04', 'N04')
('ilandelayo', 'REL', 'REL')
('$', 'END', 'END')
0.8461538461538461
('^', 'START', 'START')
('isatifiketi', 'N07', 'N07')
('sobhaliso', 'N02', 'N02')
('lweshishini', 'N05', 'N05')
('njengoko', 'ADV', 'ADV')
('sikhutshwe', 'V', 'V')
('nguMphathi', 'COP', 'N')
('woBhaliso', 'N02', 'N02')
('lweeNkampani', 'POS', 'V')
('okanye', 'ADV', 'ADV')
('iNqununu', 'N', 'V')
('yeNkundla', 'N09', 'N09')
('ePhezulu', 'ADV', 'ADV')
('kwimeko', 'N05', 'N05')
('yeQumrhu', 'REL', 'V')
('lokuGcina', 'V', 'V')
('ngeNtembeko', 'COP', 'N')
('$', 'END', 'END')
0.7222222222222222
('^', 'START', 'START')
('isindululo', 'N', 'N')
('okanye', 'ADV', 'ADV')
('imvume', 'N09', 'N09')
('okanye', 'ADV', 'ADV')
('elinye', 'V', 'V')
('igunya', 'N05', 'N05')
('elibandakanyekayo', 'V', 'V')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('iphepha', 'N05', 'N05')
('lemvume', 'N09', 'N09')
('ipemethe', 'N09', 'N09')
('yeSebe', 'N05', 'N05')
('lezoRhwebo', 'POS', 'POS')
('naMashishini', 'N06', 'V')
('ukuba', 'CONJ', 'CONJ')
('ziyabandakanyeka', 'V', 'V')
('$', 'END', 'END')
0.9
('^', 'START', 'START')
('iindlela', 'N10', 'N10')
('zokubala', 'V', 'V')
('ukubangaba', 'ADV', 'ADV')
('wenza', 'V', 'V')
('isicelo', 'N07', 'N07')
('phantsi', 'ADV', 'ADV')
('komba', 'N03', 'V')
('wokubuyiselwa', 'V', 'V')
('imali', 'N09', 'N09')
('ku', 'P', 'V')
('naku', 'DEM01', 'V')
('$', 'END', 'END')
0.7692307692307693
('^', 'START', 'START')
('iincwadi', 'N10', 'N10')
('zezazisi', 'N08', 'N08')
('xa', 'N05', 'N05')
('umntu', 'N01', 'N01')
('engummi', 'POS', 'V')
('waseMzantsi', 'LOC', 'LOC')
('Afrika', 'N05', 'N05')
('$', 'END', 'END')
0.8888888888888888
('^', 'START', 'START')
('Imiqulu', 'N04', 'V')
('yepaspoti', 'LOC', 'LOC')
('kwimeko', 'N05', 'N05')
('$', 'END', 'END')
0.8
('^', 'START', 'START')
('Yomntu', 'N01', 'V')
('ongahlali', 'V', 'V')
('kweli', 'DEM01', 'DEM01')
('lizwe', 'N05', 'N05')
('$', 'END', 'END')
0.8333333333333334
('^', 'START', 'START')
('iqumrhu', 'N', 'N')
('elingavulelekanga', 'V', 'V')
('kunye', 'ADJ05', 'ADJ05')
('nequmrhu', 'ADV', 'ADV')
('lokugcina', 'V', 'V')
('ngentembeko', 'N', 'N')
('onke', 'QUANT06', 'QUANT06')
('amalungu', 'N06', 'N06')
('ogxa', 'N11', 'V')
('bentsebenziswano', 'N', 'N')
('okanye', 'ADV', 'ADV')
('amalungu', 'N06', 'N06')
('aphathiswe', 'V', 'V')
('iqumrhu', 'N', 'N')
('ngentembeko', 'N', 'N')
('$', 'END', 'END')
0.9411764705882353
('^', 'START', 'START')
('inkampani', 'N09', 'N09')
('bonke', 'QUANT06', 'V')
('abaqondisi', 'V', 'V')
('kubandakanywa', 'V', 'V')
('umqondisi', 'N01', 'N01')
('olawulayo', 'V', 'V')
('kunye', 'ADJ05', 'ADJ05')
('nomqondisi', 'N01', 'N10')
('wezemali', 'COP', 'V')
('$', 'END', 'END')
0.7272727272727273
('^', 'START', 'START')
('Amaziko', 'N06', 'V')
('okuNqanda', 'V', 'V')
('uBugebenga', 'V', 'V')
('abizwa', 'V', 'V')
('ngokuba', 'V', 'V')
('zii-Crime', 'N', 'V')
('Stop', 'ADV', 'V')
('luluhlu', 'N', 'V')
('lwamaziko', 'N06', 'V')
('ekutsalelwa', 'V', 'V')
('kuwo', 'PRON03', 'V')
('umnxeba', 'N03', 'V')
('ajongene', 'V', 'V')
('nokuqokelela', 'V', 'V')
('inkcazelo', 'N09', 'N09')
('kuluntu', 'N11', 'N11')
('malunga', 'N06', 'N06')
('nezigebenga', 'V', 'V')
('nezenzo', 'N08', 'N10')
('zazo', 'POS10', 'POS10')
('$', 'END', 'END')
0.6363636363636364
('^', 'START', 'START')
('Uluntu', 'N11', 'V')
('luncediswa', 'V', 'V')
('ngamagosa', 'N06', 'V')
('asebenza', 'V', 'V')
('kula', 'DEM03', 'V')
('maziko', 'N06', 'V')
('okutsalela', 'V', 'V')
('umnxeba', 'N03', 'V')
('aqeqeshwe', 'V', 'V')
('kakuhle', 'V', 'V')
('kudliwano-ndlebe', 'N06', 'V')
('oluphandayo', 'REL', 'V')
('$', 'END', 'END')
0.5
('^', 'START', 'START')
('Oku', 'DEM01', 'V')
('kulungiselela', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('ukwazi', 'V', 'V')
('ukuxelela', 'V', 'V')
('iNkonzo', 'N09', 'V')
('yaMapolisa', 'N', 'N')
('aseMzantsi', 'POS', 'POS')
('Afrika', 'N05', 'N05')
('ebizwa', 'V', 'V')
('ngokuba', 'V', 'V')
('yi-South', 'P', 'P')
('African', 'N', 'N')
('Police', 'POS', 'V')
('Services', 'P', 'V')
('SAPS', 'ADV', 'ADV')
('ngezenzo', 'N08', 'V')
('Zobugebenga', 'V', 'V')
('kwimeko', 'N05', 'N05')
('ekhuselekileyo', 'V', 'N')
('nengoyikisiyo', 'V', 'V')
('$', 'END', 'END')
0.7391304347826086
('^', 'START', 'START')
('Ukuba', 'CONJ', 'CONJ')
('uyathanda', 'V', 'V')
('ungangalixeli', 'V', 'V')
('igama', 'N05', 'N05')
('lakho', 'POS05', 'POS05')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('Ii-eyijenti', 'N', 'V')
('ezifunisayo', 'V', 'N')
('nezichaza', 'V', 'V')
('umntu', 'N01', 'N01')
('otsala', 'V', 'V')
('umnxeba', 'N03', 'V')
('azivumelekanga', 'V', 'V')
('e-Crime', 'N', 'V')
('Stop', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('zinike', 'V', 'V')
('isiqinisekiso', 'N07', 'N07')
('sokungachazwa', 'V', 'V')
('kwegama', 'N05', 'N05')
('lomntu', 'N01', 'N01')
('oxela', 'V', 'V')
('ubugebenga', 'N14', 'V')
('$', 'END', 'END')
0.7368421052631579
('^', 'START', 'START')
('Inkcazelo', 'N09', 'N09')
('enikiweyo', 'V', 'V')
('isiwa', 'V', 'V')
('kubacuphi', 'P', 'V')
('$', 'END', 'END')
0.8333333333333334
('^', 'START', 'START')
('Amaziko', 'N06', 'V')
('aKhethiweyo', 'POS', 'V')
('okuTsalela', 'V', 'V')
('UMnxeba', 'N03', 'V')
('we-Crime', 'N', 'V')
('Stop', 'ADV', 'V')
('akwanxulumanisa', 'V', 'V')
('abaxeli', 'V', 'V')
('bobugebenga', 'V', 'V')
('nqo', 'IDEOPH', 'V')
('nabaphandi', 'V', 'V')
('ngenkqubo', 'N09', 'N09')
('yenkomfa', 'V', 'V')
('yasemnxebeni', 'V', 'V')
('$', 'END', 'END')
0.625
('^', 'START', 'START')
('Oku', 'DEM01', 'V')
('kulungiselela', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('igosa', 'N05', 'V')
('eliphandayo', 'V', 'V')
('likwazi', 'V', 'V')
('ukudlana', 'V', 'V')
('iindlebe', 'V', 'V')
('nqo', 'IDEOPH', 'V')
('nomxeli', 'N09', 'V')
('wobugebenga', 'N14', 'V')
('$', 'END', 'END')
0.6153846153846154
('^', 'START', 'START')
('Qaphela', 'N', 'N')
('oku', 'DEM01', 'DEM01')
('kwenziwa', 'V', 'V')
('kuphela', 'V', 'V')
('ngemvume', 'N09', 'N09')
('yakho', 'POS04', 'POS04')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('Usengazixela', 'V', 'V')
('izenzo', 'N08', 'V')
('zobugebenga', 'N14', 'V')
('nangobuxhakaxhaka', 'V', 'V')
('bombane', 'N03', 'V')
('ngokwe-website', 'POS', 'V')
('ye', 'N05', 'N05')
('South', 'P', 'P')
('African', 'N', 'N')
('Police', 'POS', 'POS')
('Service', 'P', 'P')
('SAPS', 'ADV', 'ADV')
('yona', 'PRON04', 'V')
('ekwaqinisekisa', 'V', 'V')
('ukungachazwa', 'V', 'V')
('kwegama', 'N05', 'N05')
('lakho', 'POS05', 'POS05')
('ngaphandle', 'ADV', 'ADV')
('kokuba', 'CONJ', 'CONJ')
('wena', 'V', 'V')
('ubonisa', 'V', 'V')
('ngenye', 'ADV', 'ADV')
('indlela', 'N09', 'N09')
('$', 'END', 'END')
0.8
('^', 'START', 'START')
('Tsalela', 'N', 'V')
('umnxeba', 'N03', 'V')
('kwinombolo', 'N09', 'N09')
('ye-Crime', 'V', 'V')
('Stop', 'P', 'V')
('ethi', 'N14', 'N14')
('08600', 'POS', 'V')
('10', 'REL', 'V')
('$', 'END', 'END')
0.5
('^', 'START', 'START')
('Igosa', 'N05', 'N05')
('eliphendulayo', 'V', 'V')
('leziko', 'N06', 'V')
('lokutsalela', 'V', 'V')
('umnxeba', 'N03', 'V')
('liyakukukhokela', 'V', 'V')
('kwimibuzo', 'N04', 'V')
('ethile', 'V', 'V')
('kwaye', 'ADV', 'ADV')
('ukubangaba', 'ADV', 'V')
('inkcazelo', 'N09', 'N09')
('oyinikileyo', 'V', 'V')
('ingasetyenziswa', 'V', 'V')
('liyakukunika', 'V', 'V')
('inombolo', 'N09', 'N09')
('yekhowudi', 'N09', 'V')
('eyodwa', 'V', 'V')
('$', 'END', 'END')
0.7368421052631579
('^', 'START', 'START')
('Ukubangaba', 'ADV', 'ADV')
('inkcazelo', 'N09', 'N09')
('ayikabiloncedo', 'N11', 'V')
('igosa', 'N05', 'N05')
('le-Crime', 'N', 'V')
('Stop', 'ADV', 'V')
('liyakukucacisela', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('kuthenina', 'V', 'V')
('kwaye', 'ADV', 'ADV')
('likucebise', 'V', 'V')
('ngendlela', 'N09', 'N09')
('ongafumana', 'V', 'V')
('ngayo', 'ADV', 'ADV')
('inkcazelo', 'N09', 'N09')
('ebanzi', 'REL04', 'V')
('$', 'END', 'END')
0.7777777777777778
('^', 'START', 'START')
('Inkcazelo', 'N09', 'N09')
('esebenzisekayo', 'V', 'V')
('inxulumaniswa', 'V', 'V')
('nenombolo', 'N09', 'N09')
('yekhowudi', 'N09', 'V')
('oyinikiweyo', 'V', 'V')
('$', 'END', 'END')
0.875
('^', 'START', 'START')
('Uyakucelwa', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('utsalele', 'V', 'V')
('umnxeba', 'N03', 'V')
('kwi-Crime', 'V', 'V')
('Stop', 'N', 'V')
('kwinombolo', 'N09', 'N09')
('ethi', 'N14', 'N14')
('08600', 'POS', 'V')
('10', 'REL', 'V')
('kwisithuba', 'N07', 'N07')
('sexesha', 'N05', 'N05')
('elithile', 'V', 'V')
('ukuze', 'CONJ', 'CONJ')
('uqonde', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('ingaba', 'ADV', 'ADV')
('inkcazelo', 'N09', 'N09')
('oyinikileyo', 'V', 'V')
('iyasebenziseka', 'V', 'V')
('na', 'INT', 'V')
('nokuba', 'V', 'V')
('ingaba', 'ADV', 'ADV')
('uyavumeleka', 'V', 'V')
('na', 'INT', 'V')
('ufumane', 'V', 'V')
('ibhaso', 'N05', 'V')
('lokukuvuza', 'V', 'V')
('ukubangaba', 'ADV', 'ADV')
('ucele', 'V', 'V')
('ibhaso', 'N05', 'V')
('lokukuvuza', 'V', 'V')
('$', 'END', 'END')
0.7647058823529411
('^', 'START', 'START')
('Kwixa', 'N05', 'V')
('elizayo', 'V', 'V')
('i-eyijenti', 'P', 'P')
('iyakuxoxa', 'V', 'V')
('ngenyewe', 'V', 'V')
('nawe', 'N05', 'N05')
('kuphela', 'V', 'V')
('xangaba', 'ADV', 'V')
('inombolo', 'N09', 'N09')
('yekhowudi', 'N09', 'V')
('oyinikileyo', 'V', 'V')
('ichanekile', 'V', 'V')
('kwaye', 'ADV', 'ADV')
('isazisi', 'N07', 'V')
('ngawe', 'V', 'V')
('siyangqinelana', 'V', 'V')
('nenkcazelo', 'N09', 'N09')
('yobume', 'N14', 'V')
('eselugcinweni', 'LOC', 'V')
('$', 'END', 'END')
0.7142857142857143
('^', 'START', 'START')
('I-eyijenti', 'P', 'V')
('iyakuyiphelisa', 'V', 'V')
('incoko', 'N', 'V')
('yefowuni', 'V', 'V')
('kwangoko', 'N11', 'N11')
('ukubangaba', 'ADV', 'V')
('ayiqiniseki', 'V', 'V')
('ukuba', 'CONJ', 'CONJ')
('ungulaa', 'V', 'V')
('mntu', 'N', 'V')
('ubefowune', 'V', 'V')
('kuqala', 'V', 'V')
('$', 'END', 'END')
0.7142857142857143
('^', 'START', 'START')
('Le', 'DEM01', 'DEM01')
('yindlela', 'N09', 'N09')
('yokhuseleko', 'POS', 'V')
('kwaye', 'ADV', 'ADV')
('akukho', 'ADV', 'ADV')
('thetha-thethwano', 'N', 'V')
('ngayo', 'ADV', 'ADV')
('$', 'END', 'END')
0.7777777777777778
('^', 'START', 'START')
('Ukubangaba', 'ADV', 'ADV')
('uxela', 'V', 'V')
('ubugebenga', 'V', 'V')
('ngokobuxhakaxhaka', 'N', 'V')
('bombane', 'N03', 'V')
('gcwalisa', 'V', 'V')
('ifom', 'N', 'N')
('yokunika', 'V', 'V')
('ingxelo', 'N09', 'N09')
('kwi-website', 'P', 'P')
('ye-SAPS', 'ADV', 'V')
('$', 'END', 'END')
0.7692307692307693
('^', 'START', 'START')
('Kuyakuvezwa', 'V', 'V')
('inombolo', 'N09', 'N09')
('yokwazisa', 'V', 'V')
('wakube', 'ADV', 'ADV')
('uthumele', 'V', 'V')
('ifom', 'N', 'N')
('$', 'END', 'END')
1.0
('^', 'START', 'START')
('I-Crime', 'N', 'V')
('Stop', 'ADV', 'V')
('iyakugqithisela', 'V', 'V')
('inkcazelo', 'N09', 'N09')
('kwicandelo', 'N05', 'N05')
('lophando', 'COP', 'V')
('elifanelekileyo', 'V', 'V')
('ukuze', 'CONJ', 'CONJ')
('liphande', 'V', 'V')
('kwaye', 'ADV', 'ADV')
('le', 'DEM01', 'DEM01')
('nkcazelo', 'N09', 'N09')
('iyakukhatshwa', 'V', 'V')
('sisicelo', 'N', 'N')
('sokuba', 'V', 'V')
('kunikwe', 'V', 'V')
('ingxelo', 'N09', 'N09')
('yokuqala', 'V', 'V')
('kwisithuba', 'N07', 'N07')
('seeyure', 'N', 'V')
('ezingama', 'V', 'V')
('24', 'POS', 'V')
('kunye', 'ADJ05', 'ADJ05')
('nesiphumo', 'N', 'V')
('kwamsinyane', 'V', 'V')
('kangangoko', 'N11', 'N11')
('kunokwenzeka', 'V', 'V')
('$', 'END', 'END')
0.7931034482758621
('^', 'START', 'START')
('Ukubangaba', 'ADV', 'ADV')
('uyavumeleka', 'V', 'V')
('ufumane', 'V', 'V')
('ibhaso', 'N05', 'V')
('lokukuvuza', 'V', 'V')
('kwaye', 'ADV', 'ADV')
('ube', 'V', 'V')
('ubulicelile', 'V', 'V')
('igosa', 'N05', 'N05')
('eliphandayo', 'V', 'V')
('liyakuqulungqa', 'ADV', 'V')
('eli', 'DEM01', 'DEM01')
('bhaso', 'N05', 'N05')
('kwaye', 'ADV', 'ADV')
('lifake', 'V', 'V')
('isibango', 'N07', 'N07')
('ngokwe', 'V', 'V')
('NI', 'N', 'V')
('2', 'POS', 'POS')
('$', 'END', 'END')
0.8571428571428571
('^', 'START', 'START')
('Xa', 'N05', 'N05')
('ibhaso', 'N05', 'V')
('lokukuvuza', 'V', 'V')
('lilungele', 'V', 'V')
('ukuhlawulwa', 'V', 'V')
('i-Crime', 'N', 'V')
('Stop', 'ADV', 'V')
('iyakunxulumana', 'V', 'V')
('nawe', 'N05', 'V')
('ukuze', 'CONJ', 'CONJ')
('yenze', 'V', 'V')
('amalungiselelo', 'N06', 'N06')
('entlawulo', 'N09', 'V')
('$', 'END', 'END')
0.6666666666666666
('^', 'START', 'START')
('Ndimi', 'V', 'V')
('phambi', 'ADV', 'ADV')
('kwakho', 'POS15', 'V')
('ngobu', 'DEM01', 'V')
('busuku', 'V', 'V')
('sekuyiminyaka', 'N04', 'V')
('ingama-20', 'P', 'V')
('ukususela', 'V', 'V')
('mhla', 'CONJ', 'CONJ')
('uMongameli', 'V', 'V')
('Nelson', 'N', 'N')
('Rolihlahla', 'N', 'V')
('Mandela', 'V', 'V')
('waphumayo', 'V', 'V')
('eluvalelweni', 'P', 'V')
('$', 'END', 'END')
0.6470588235294118
('^', 'START', 'START')
('Sikhethe', 'V', 'V')
('olu', 'DEM01', 'DEM01')
('suku', 'N', 'N')
('njengosuku', 'N11', 'V')
('lokubiza', 'V', 'V')
('leNdibanisela', 'V', 'V')
('yeziNdlu', 'POS', 'V')
('zePalamente', 'V', 'V')
('ukuze', 'CONJ', 'CONJ')
('ndinikezele', 'V', 'V')
('ngeNtetho', 'N', 'V')
('kaMongameli', 'POS', 'V')
('engoBume', 'N14', 'V')
('beSizwe', 'N07', 'V')
('ukubhiyozela', 'V', 'V')
('imbali', 'N09', 'N09')
('eyaguqula', 'V', 'V')
('ilizwe', 'N05', 'N05')
('lethu', 'POS05', 'POS05')
('$', 'END', 'END')
0.7142857142857143
('^', 'START', 'START')
('Ukukhululwa', 'V', 'V')
('kukaMadiba', 'N04', 'V')
('kwabangelwa', 'V', 'V')
('yimizabalazo', 'N03', 'V')
('engahexiyo', 'V', 'V')
('yabantu', 'N02', 'N02')
('baseMzantsi', 'LOC', 'LOC')
('Afrika', 'N05', 'N05')
('$', 'END', 'END')
0.8
('^', 'START', 'START')
('Ababesakuba', 'ADV', 'V')
('ngamabanjwa', 'N06', 'V')
('opolitiko', 'POS', 'N')
('neenkonde', 'V', 'V')
('ezikunye', 'V', 'V')
('nathi', 'ADV', 'ADV')
('apha', 'DEM01', 'DEM01')
('bayibona', 'V', 'V')
('loo', 'DEM02', 'DEM02')
('nto', 'N', 'N')
('kuba', 'CONJ', 'CONJ')
('nabo', 'ADV', 'ADV')
('babeyinxalenye', 'V', 'V')
('yaloo', 'DEM02', 'V')
('nkqubo', 'N09', 'N09')
('$', 'END', 'END')
0.7647058823529411
('^', 'START', 'START')
